ID,FD URL,FD ID,Available
35781,https://www.funda.nl/koop/giesbeek/huis-43494087-meentsestraat-64/,43494087,Verkocht onder voorbehoud
35779,https://www.funda.nl/koop/kaatsheuvel/huis-43406497-zoom-15/,43406497,Verkocht onder voorbehoud
35775,https://www.funda.nl/detail/koop/beugen/huis-molenheideweg-6-a/89926101/,89926101,Beschikbaar
35780,https://www.funda.nl/koop/zwartsluis/huis-43405900-beatrixstraat-3/,43405900,Verkocht onder voorbehoud
35782,https://www.funda.nl/koop/meeuwen/huis-43492842-dorpsstraat-53/,43492842,Verkocht onder voorbehoud
35784,https://www.funda.nl/koop/genemuiden/huis-43492610-achterweg-3/,43492610,"
     Verkocht onde"
35778,https://www.funda.nl/detail/koop/bennebroek/huis-tulpenlaan-20/43407986/,43407986,Verkocht onder voorbehoud
35783,https://www.funda.nl/koop/hoeven/huis-43492786-akkerlingen-15/,43492786,Verkocht onder voorbehoud
35785,https://www.funda.nl/koop/castricum/huis-43492582-de-bloemen-45/,43492582,Verkocht onder voorbehoud
35786,https://www.funda.nl/koop/alkmaar/huis-43491832-paltrokmolen-83/,43491832,"
     Verkocht onde"
35787,https://www.funda.nl/koop/groningen/huis-43491759-getij-61/,43491759,Verkocht onder voorbehoud
35788,https://www.funda.nl/koop/drachten/huis-43491454-grietmansrecht-10/,43491454,"
     Verkocht onde"
35789,https://www.funda.nl/koop/hoogland/huis-43490909-van-boetzelaerlaan-6/,43490909,Verkocht onder voorbehoud
35792,https://www.funda.nl/koop/surhuisterveen/huis-43496079-groningerstraat-92/,43496079,Verkocht onder voorbehoud
35790,https://www.funda.nl/koop/oisterwijk/huis-43499061-burg-van-beckhovenstraat-24/,43499061,Verkocht onder voorbehoud
35794,https://www.funda.nl/koop/heemskerk/huis-43484462-frankrijklaan-16/,43484462,"
     Verkocht onde"
35797,https://www.funda.nl/koop/vlaardingen/appartement-43480375-sweelinckstraat-73/,43480375,Verkocht onder voorbehoud
35795,https://www.funda.nl/koop/veenendaal/huis-43482565-castor-25/,43482565,Verkocht onder voorbehoud
35791,https://www.funda.nl/detail/koop/oud-beijerland/huis-asterstraat-1/89852701/,89852701,Verkocht onder voorbehoud
35796,https://www.funda.nl/koop/breda/huis-43481758-aalststraat-44/,43481758,Verkocht onder voorbehoud
35798,https://www.funda.nl/koop/zuidoostbeemster/huis-43480119-volgerweg-98/,43480119,Verkocht onder voorbehoud
35793,https://www.funda.nl/detail/koop/franeker/huis-lambertus-doniastraat-13/43484476/,43484476,Verkocht onder voorbehoud
35800,https://www.funda.nl/koop/den-haag/appartement-43487440-pasteurstraat-240/,43487440,Verkocht onder voorbehoud
35801,https://www.funda.nl/koop/herveld/huis-43486249-de-zandakkers-15/,43486249,Verkocht onder voorbehoud
35806,https://www.funda.nl/koop/nijmegen/huis-43472272-heeskesacker-2339/,43472272,Verkocht onder voorbehoud
35804,https://www.funda.nl/koop/assen/huis-43473859-haverhullen-53/,43473859,"
     Verkocht onde"
35799,https://www.funda.nl/detail/koop/leiden/huis-evertsenstraat-84/43488045/,43488045,Verkocht onder voorbehoud
35802,https://www.funda.nl/detail/koop/goes/huis-made-ruijterlaan-29/43486854/,43486854,Verkocht onder voorbehoud
35803,https://www.funda.nl/detail/koop/barger-compascuum/huis-pastoor-vroomstraat-20/43485753/,43485753,Verkocht
35807,https://www.funda.nl/detail/koop/breda/huis-vilvoordestraat-19/43479123/,43479123,Verkocht onder voorbehoud
35810,https://www.funda.nl/koop/etten-leur/huis-43477258-baai-130/,43477258,Verkocht onder voorbehoud
35808,https://www.funda.nl/detail/koop/capelle-aan-den-ijssel/appartement-boomberg-101/43478116/,43478116,Verkocht onder voorbehoud
35812,https://www.funda.nl/koop/ochten/huis-43460901-waalbandijk-9/,43460901,Onder bod
35814,https://www.funda.nl/koop/oss/huis-43450089-strovlasstraat-3/,43450089,Verkocht onder voorbehoud
35813,https://www.funda.nl/koop/andelst/huis-43468978-beatrixstraat-4/,43468978,Verkocht onder voorbehoud
35809,https://www.funda.nl/detail/koop/boxmeer/huis-van-den-berghstraat-1/43478474/,43478474,Verkocht onder voorbehoud
35805,https://www.funda.nl/detail/koop/zaandam/huis-prins-hendrikstraat-130/43473614/,43473614,Verkocht onder voorbehoud
35815,https://www.funda.nl/koop/nieuw-beijerland/huis-42343391-ridder-van-dorpstraat-9/,42343391,Verkocht onder voorbehoud
35811,https://www.funda.nl/detail/koop/rhenen/huis-lindenlaan-5/89830379/,89830379,Verkocht onder voorbehoud
35817,https://www.funda.nl/koop/schiedam/appartement-42342949-boerhaavelaan-10-b/,42342949,"
     Verkocht onde"
